show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0041,TV Show,"Business Proposal: Mini-série:","Directeur Inconnu","Casting Inconnu","South Korea","2021-08-01",2021,"TV-14","1 Season","Romance, Comedy, Mini-series","Une mini-série romantique et humoristique sur une rencontre d'affaires inattendue."
s0042,TV Show,"Extraordinary Attorney Woo","Directeur Inconnu","Casting Inconnu","South Korea","2022-03-15",2022,"TV-14","1 Season","Drama, Legal, Romance","Une série sur une avocate brillante et atypique confrontée à des défis juridiques."
s0043,TV Show,"The Glory","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-10",2023,"TV-MA","1 Season","Drama, Revenge","Une série dramatique intense centrée sur la vengeance et la résilience."
s0044,TV Show,"Lookism","Directeur Inconnu","Casting Inconnu","South Korea","2023-03-20",2023,"TV-14","1 Season","Drama, Animation, Fantasy","Une série qui explore les thèmes de l'apparence et de l'identité à travers une histoire captivante."
s0045,TV Show,"All of Us Are Dead","Directeur Inconnu","Casting Inconnu","South Korea","2022-07-01",2022,"TV-MA","1 Season","Horror, Thriller, Drama","Une série palpitante où des lycéens luttent pour survivre face à une épidémie zombie."
s0046,TV Show,"Mercredi","Directeur Inconnu","Casting Inconnu","USA","2022-11-23",2022,"TV-14","1 Season","Mystery, Supernatural, Comedy","Une série mêlant mystère et surnaturel autour de la jeune fille Mercredi Addams."
s0047,TV Show,"Chainsaw Man","Directeur Inconnu","Casting Inconnu","Japon","2022-12-01",2022,"TV-MA","1 Season","Animation, Action, Horror","Une série animée intense basée sur le manga à succès, mêlant action et horreur."
s0048,TV Show,"Comme les grands","Directeur Inconnu","Casting Inconnu","France","2023-02-05",2023,"TV-PG","1 Season","Family, Drama","Une série touchante qui suit les premiers pas vers l'âge adulte."
s0049,TV Show,"Ratz","Directeur Inconnu","Casting Inconnu","France","2003-04-15",2003,"TV-Y7","2 Seasons","Animation, Comedy","Une série animée humoristique sur des rats aventuriers."
s0050,TV Show,"Cupcake et Dino","Directeur Inconnu","Casting Inconnu","USA","2023-05-10",2023,"TV-Y7","1 Season","Animation, Family, Comedy","Une série animée pour enfants mettant en scène un cupcake et un dinosaure dans des aventures amusantes."
s0051,TV Show,"Le Cuphead show","Directeur Inconnu","Casting Inconnu","USA","2022-10-01",2022,"TV-Y7","1 Season","Animation, Comedy, Action","Une série animée inspirée du jeu vidéo Cuphead, pleine d'action et d'humour."
s0052,Movie,"Half Bad","Directeur Inconnu","Casting Inconnu","UK","2021-06-15",2021,"PG-13","105 min","Drama, Fantasy, Thriller","Un film de fantasy sur un adolescent aux pouvoirs exceptionnels et des choix difficiles."
s0053,TV Show,"James chez les bizarroïdes","Directeur Inconnu","Casting Inconnu","France","2023-04-20",2023,"TV-PG","1 Season","Comedy, Fantasy","Une série humoristique et décalée suivant les aventures de James dans un monde étrange."
s0054,Movie,"Boo, Bitch","Directeur Inconnu","Casting Inconnu","USA","2023-07-07",2023,"R","95 min","Comedy, Horror","Une comédie noire mêlant horreur et satire sociale."
s0055,TV Show,"Désenchantée","Directeur Inconnu","Casting Inconnu","France","2022-12-25",2022,"TV-14","1 Season","Animation, Fantasy, Comedy","Une série animée où la magie et le quotidien se mélangent de façon décalée."
s0056,Movie,"Mes premières fois","Directeur Inconnu","Casting Inconnu","France","2023-01-15",2023,"PG-13","90 min","Drama, Romance","Un film traitant des premières expériences marquantes dans la vie d'un jeune adulte."
s0057,TV Show,"Les nouvelles aventures de Lucky Luke","Directeur Inconnu","Casting Inconnu","France","2023-03-05",2023,"TV-PG","1 Season","Animation, Western, Comedy","Une réinvention moderne des aventures du cowboy emblématique Lucky Luke."
s0058,Movie,"Les Croods","Directeur Inconnu","Casting Inconnu","USA","2013-11-22",2013,"PG","98 min","Animation, Adventure, Family","Une famille préhistorique part en quête d'un nouveau foyer dans un monde en mutation."
s0059,TV Show,"Superstore","Directeur Inconnu","Casting Inconnu","USA","2015-11-30",2015,"TV-14","6 Seasons","Comedy, Workplace","Une série comique se déroulant dans un magasin de grande distribution et ses employés atypiques."
s0060,TV Show,"Final Space","Directeur Inconnu","Casting Inconnu","USA","2018-02-14",2018,"TV-14","2 Seasons","Animation, Sci-Fi, Comedy","Une série animée qui suit les aventures spatiales d'un héros en quête de réponses."
s0061,TV Show,"South Park","Trey Parker, Matt Stone","Trey Parker, Matt Stone, etc.","USA","1997-08-13",1997,"TV-MA","23 Seasons","Animation, Comedy, Satire","Une série animée culte abordant des thèmes sociaux avec humour et provocation."
s0062,TV Show,"Demon Slayer: Kimetsu no Yaiba","Directeur Inconnu","Casting Inconnu","Japon","2019-04-06",2019,"TV-14","2 Seasons","Animation, Action, Fantasy","Une série animée à succès sur un jeune guerrier affrontant des démons dans un Japon féodal."
s0063,TV Show,"72 animaux dangereux en Asie: Mini-série:","Directeur Inconnu","Casting Inconnu","Asie","2023-06-10",2023,"TV-PG","1 Season","Documentary, Nature, Mini-series","Une mini-série documentaire explorant 72 animaux dangereux à travers l'Asie."
s0064,TV Show,"The Big Bang Theory","Chuck Lorre, Bill Prady","Johnny Galecki, Jim Parsons, Kaley Cuoco","USA","2007-09-24",2007,"TV-14","12 Seasons","Comedy, Sitcom","Une sitcom centrée sur un groupe de scientifiques et leurs interactions sociales décalées."
s0065,TV Show,"72 animaux dangereux en Amérique latine: Mini-série:","Directeur Inconnu","Casting Inconnu","Amérique latine","2023-07-15",2023,"TV-PG","1 Season","Documentary, Nature, Mini-series","Une mini-série documentaire présentant 72 animaux dangereux d'Amérique latine."
s0066,TV Show,"Family Guy","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0067,Movie,"Le jardin des météores","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0068,TV Show,"My Hero Academia","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0069,TV Show,"Le jeu de la dame: Mini-série:","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0070,TV Show,"Astronomy Club: The Sketch Show","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0071,TV Show,"L'Attaque des Titans Il était une fois... la Vie:","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0072,TV Show,"Les 100","Directeur Inconnu","Casting Inconnu","Canada","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0073,Movie,"Birth of a Veauty","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0074,TV Show,"Marriage Contract","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0075,TV Show,"oh my venus","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0076,TV Show,"beautiful Gong Shim","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0077,TV Show,"The Empress Ki","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0078,TV Show,"JU-ON: Origins","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0079,TV Show,"Food Wars","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0080,TV Show,"Hellsing the tv show","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0081,TV Show,"My Husband Oh Jak Doo","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0082,Movie,"All Out!","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0083,TV Show,"Samurai 7","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0084,TV Show,"Kabaneri of the Iron Fortress","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0085,Movie,"Shaun of the Dead","Directeur Inconnu","Casting Inconnu","UK","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0086,TV Show,"Les nouvelles légendes du Roi Singe: Saison 1","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0087,Movie,"Bienvenue à Zombieland","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0088,Movie,"Manuel de survie à l'apocalypse zombie","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0089,TV Show,"Les Mystérieuses Cités d’or","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0090,TV Show,"Deadman Wonderland","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0091,Movie,"Nola Darling n'en fait qu'à sa tête","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0092,Movie,"Journey 2: The Mysterious Island","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0093,TV Show,"Prison School","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0094,TV Show,"La famille Addams","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0095,Movie,"En taule : mode d'emploi (Movie)","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0096,TV Show,"Copains Pour Toujours","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0097,Movie,"Les chroniques de Riddick : Pitch Black","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0098,Movie,"Le Dernier pub avant la fin du monde","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0099,TV Show,"Les Schtroumpfs (tv show)","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0100,Movie,"Battle Royale","Directeur Inconnu","Casting Inconnu","Japon","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0101,Movie,"Gad Elmaleh: American Dream","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0102,TV Show,"Suspicious Partner: Mini-série:","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0103,Movie,"Bienvenue dans la jungle","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0104,TV Show,"Radiant Office","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0105,Movie,"Peur sur prises","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0106,TV Show,"My Girlfriend Is a Gumiho","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0107,Movie,"La colère des Titans","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0108,Movie,"Le bout du monde","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0109,TV Show,"La reina del flow","Directeur Inconnu","Casting Inconnu","Colombia","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0110,Movie,"Le Monde perdu : Jurassic Park","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0111,Movie,"Jurassic Park III","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0112,TV Show,"Rooftop Prince","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0113,Movie,"Ace Ventura, détective chiens et chats","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0114,Movie,"Ace Ventura, en Afrique","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0115,Movie,"Franck Dubosc - À l'état sauvage","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0116,Movie,"Tom et Jerry, le film","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0117,Movie,"Fée malgré lui","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0118,Movie,"Les 12 travaux d'Astérix","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0119,Movie,"Astérix et Cléopâtre","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0120,TV Show,"O Mecanismo: Saison 1: Lavage express","Directeur Inconnu","Casting Inconnu","Brazil","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0121,TV Show,"3 %","Directeur Inconnu","Casting Inconnu","Brazil","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0122,Movie,"À tous les garçons que j'ai aimés","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0123,Movie,"Chouchou","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0124,Movie,"Le Roi scorpion","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0125,Movie,"Le Professeur Foldingue","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0126,Movie,"Légion, l'armée des anges","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0127,Movie,"Le Monde (presque) perdu","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0128,Movie,"Elle est trop bien","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0129,Movie,"DUFF : le faire-valoir","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0130,TV Show,"Buffy, tueuse de vampires","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0131,Movie,"Marlon Wayans: Woke-ish","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0132,Movie,"Les Simpson, le film","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0133,Movie,"RRRrrrr!!!  (Movie )","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0134,Movie,"Ahmed Sylla - Avec un grand A","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0135,TV Show,"Les aventures de Brady Barr","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0136,Movie,"Barbershop 2","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0137,Movie,"Built for the Kill","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0138,Movie,"Kinky Boots","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0139,Movie,"Anne Roumanoff - Aimons-nous les uns les autres","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0140,Movie,"Shaun of the Dead","Directeur Inconnu","Casting Inconnu","UK","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0141,Movie,"Seuls Two","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0142,Movie,"Gad Elmaleh : Papa est en haut","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0143,Movie,"Gad Elmaleh : Décalages","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0144,Movie,"Gad Elmaleh : Sans Tambour","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0145,Movie,"Florence Party","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0146,TV Show,"Falling Skies","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0147,TV Show,"Scream Queens","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0148,Movie,"Norbit","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0149,TV Show,"Zip et Zap et l’île du Capitaine","Directeur Inconnu","Casting Inconnu","France","2023-01-01",2015,"TV-14","1 Season","Drama, Action","Description non disponible."
s0150,Movie,"Dare Dare Motus","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0151,Movie,"The sex List","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
s0152,Movie,"Kevin Hart: What Now ?","Directeur Inconnu","Casting Inconnu","USA","2023-01-01",2019,"PG-13","100 min","Drama, Action","Description non disponible."
